Birthplace,President
"Barboursville, Virginia",Zachary Taylor
"Blooming Grove, Ohio",Warren G. Harding
"Braintree, Massachusetts",John Quincy Adams
"Brookline, Massachusetts",John F. Kennedy
"Caldwell, New Jersey",Grover Cleveland
"Charles City County, Virginia","William Henry Harrison
John Tyler"
"Cincinnati, Ohio",William Howard Taft
"Cove Gap, Pennsylvania",James Buchanan
"Delaware, Ohio",Rutherford B. Hayes
"Denison, Texas",Dwight D. Eisenhower
"Fairfield, Vermont",Chester A. Arthur[1]
"Hillsborough, New Hampshire",Franklin Pierce
"Honolulu, Hawaii",Barack Obama
"Hope, Arkansas",Bill Clinton
"Hyde Park, New York",Franklin D. Roosevelt
"Kinderhook, New York",Martin Van Buren
"Lamar, Missouri",Harry S. Truman
"Lancaster County, South Carolina",Andrew Jackson
"Mercersburg, Pennsylvania",James Buchanan
"Milton, Massachusetts",George H. W. Bush
"Moreland Hills, Ohio",James A. Garfield
"New Haven, Connecticut",George W. Bush
"New York City, New York",Theodore Roosevelt
"Niles, Ohio",William McKinley
"Nolin Creek, Kentucky[2]",Abraham Lincoln
"North Bend, Ohio",Benjamin Harrison
"Omaha, Nebraska",Gerald Ford
"Pineville, North Carolina",James K. Polk
"Plains, Georgia",Jimmy Carter
"Plymouth, Vermont",Calvin Coolidge
"Point Pleasant, Ohio",Ulysses S. Grant
"Port Conway, Virginia",James Madison
"Braintree, Massachusetts",John Adams
"Raleigh, North Carolina",Andrew Johnson
"Shadwell, Virginia",Thomas Jefferson
"Stonewall, Texas",Lyndon B. Johnson
"Staunton, Virginia",Woodrow Wilson
"Moravia, New York",Millard Fillmore
"Tampico, Illinois",Ronald Reagan
"West Branch, Iowa",Herbert Hoover
"Westmoreland County, Virginia","George Washington
James Monroe"
"Yorba Linda, California",Richard Nixon
